state,week_start,building_percentage,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,new_cases
Illinois,2020-06-01,0.43570770600000003,-22.571428571428573,-1.0,66.57142857142857,-35.42857142857143,-33.142857142857146,11.285714285714286,127757.0,7497.0
Illinois,2020-06-08,0.4655730880000001,-18.428571428571427,-0.5714285714285714,81.42857142857143,-30.142857142857142,-30.571428571428573,9.857142857142858,132543.0,4786.0
Illinois,2020-06-15,0.44711895600000007,-15.857142857142858,2.4285714285714284,94.14285714285714,-27.714285714285715,-30.285714285714285,8.428571428571429,136762.0,4219.0
Illinois,2020-06-22,0.475231048,-15.714285714285714,-2.7142857142857144,85.42857142857143,-28.285714285714285,-30.285714285714285,8.857142857142858,141723.0,4961.0
Illinois,2020-06-29,0.42153279200000016,-13.0,3.0,98.0,-27.857142857142858,-37.285714285714285,8.285714285714286,147251.0,5528.0
Illinois,2020-07-06,0.469584856,-11.571428571428571,0.42857142857142855,98.85714285714286,-26.571428571428573,-31.142857142857142,8.0,155048.0,7797.0
Illinois,2020-07-13,0.47285370399999993,-12.285714285714286,-1.2857142857142858,95.28571428571429,-28.714285714285715,-31.142857142857142,8.0,162750.0,7702.0
Illinois,2020-07-20,0.46702921199999997,-11.857142857142858,-0.8571428571428571,108.14285714285714,-28.0,-30.285714285714285,7.571428571428571,172663.0,9913.0
Illinois,2020-07-27,0.469406556,-11.571428571428571,-1.5714285714285714,102.0,-28.714285714285715,-30.857142857142858,7.857142857142857,183224.0,10561.0
Illinois,2020-08-03,0.435618555,-10.428571428571429,0.0,118.85714285714286,-27.714285714285715,-30.142857142857142,7.428571428571429,195380.0,12156.0
Illinois,2020-08-10,0.4476835760000001,-9.857142857142858,-1.2857142857142858,103.71428571428571,-29.0,-30.857142857142858,6.571428571428571,207412.0,12032.0
Indiana,2020-02-24,1.0,7.857142857142857,3.5714285714285716,14.857142857142858,7.285714285714286,1.2857142857142858,-0.2857142857142857,0.0,0.0
Indiana,2020-03-02,1.120065365,12.428571428571429,8.0,54.714285714285715,10.571428571428571,2.4285714285714284,-1.1428571428571428,2.0,2.0
Indiana,2020-03-09,1.012901006,2.7142857142857144,14.0,24.0,3.857142857142857,-1.4285714285714286,1.0,20.0,18.0
Indiana,2020-03-16,0.49711877500000007,-28.0,8.714285714285714,9.428571428571429,-11.714285714285714,-24.0,10.285714285714286,204.0,184.0
Indiana,2020-03-23,0.338780425,-42.0,-14.714285714285714,26.142857142857142,-26.714285714285715,-40.285714285714285,16.428571428571427,1513.0,1309.0
Indiana,2020-03-30,0.34032854599999995,-39.714285714285715,-13.428571428571429,44.714285714285715,-27.857142857142858,-44.142857142857146,16.857142857142858,4411.0,2898.0
Indiana,2020-04-06,0.279521803,-40.57142857142857,-13.0,48.42857142857143,-29.285714285714285,-46.57142857142857,17.142857142857142,7928.0,3517.0
Indiana,2020-04-13,0.33052378100000007,-35.57142857142857,-12.0,21.0,-27.857142857142858,-42.57142857142857,17.0,11211.0,3283.0
Indiana,2020-04-20,0.31770878099999994,-30.714285714285715,-9.0,52.42857142857143,-23.571428571428573,-41.714285714285715,15.428571428571429,15012.0,3801.0
Indiana,2020-04-27,0.3049797880000001,-24.142857142857142,-2.4285714285714284,84.71428571428571,-16.714285714285715,-39.42857142857143,13.285714285714286,19933.0,4921.0
Indiana,2020-05-04,0.36948481999999994,-20.285714285714285,3.7142857142857144,59.57142857142857,-14.571428571428571,-35.57142857142857,12.857142857142858,24126.0,4193.0
Indiana,2020-05-11,0.483529715,-16.142857142857142,-0.7142857142857143,69.42857142857143,-12.142857142857142,-32.142857142857146,11.714285714285714,27778.0,3652.0
Indiana,2020-05-18,0.506837533,-9.714285714285714,4.428571428571429,114.42857142857143,-5.428571428571429,-30.714285714285715,9.428571428571429,31376.0,3598.0
Indiana,2020-05-25,0.491872366,-6.857142857142857,4.571428571428571,155.0,-3.142857142857143,-31.571428571428573,9.571428571428571,34574.0,3198.0
Indiana,2020-06-01,0.617270147,-2.5714285714285716,8.714285714285714,165.42857142857142,0.8571428571428571,-25.0,6.857142857142857,37397.0,2823.0
Indiana,2020-06-08,0.6515868239999999,-1.7142857142857142,6.857142857142857,176.57142857142858,3.142857142857143,-23.571428571428573,5.857142857142857,39909.0,2512.0
Indiana,2020-06-15,0.6179582009999999,0.42857142857142855,9.285714285714286,197.42857142857142,6.571428571428571,-23.428571428571427,4.571428571428571,42423.0,2514.0
Indiana,2020-06-22,0.649780683,-0.7142857142857143,4.571428571428571,169.0,7.285714285714286,-23.571428571428573,5.571428571428571,44930.0,2507.0
